Time,Mean Speed,Mean Volume,After,Frq Cong After,405es02744:_MN___1 good days,405es02744:_MN___2 good days,,,,Before,Time,Mean Speed,Mean Volume,Before,Frq Cong Before,405es02744:_MN___1 good days,405es02744:_MN___2 good days
10:40,50.06945265,249.3139535,1495.883721,3.488372093,86,86,,,,,10:40:00,54.45457702,236.9318182,1421.590909,0,88,88
10:45,50.51068281,248.4534884,1490.72093,2.325581395,86,86,,,,,10:45:00,54.42016833,233.7272727,1402.363636,1.136363636,88,88
10:50,50.58468221,249.2209302,1495.325581,2.325581395,86,86,,,,,10:50:00,54.67982846,233.2840909,1399.704545,0,88,88
10:55,49.3619986,247.3953488,1484.372093,3.488372093,86,86,,,,,10:55:00,54.64597864,232.5,1395,0,88,88
11:00,50.41017362,250.7093023,1504.255814,3.488372093,86,86,,,,,11:00:00,53.74174216,236.7272727,1420.363636,0,88,88
11:05,48.48620328,258.8372093,1553.023256,5.813953488,86,86,,,,,11:05:00,52.80739216,240.3977273,1442.386364,0,88,88
11:10,48.17073675,257.8953488,1547.372093,4.651162791,86,86,,,,,11:10:00,52.23549969,243.1477273,1458.886364,1.136363636,88,88
11:15,48.6405662,262.5930233,1575.55814,6.976744186,86,86,,,,,11:15:00,53.19526664,243.25,1459.5,1.136363636,88,88
11:20,48.03233282,259.372093,1556.232558,5.813953488,86,86,,,,,11:20:00,53.02855425,241.5454545,1449.272727,0,88,88
11:25,47.63167955,261.9186047,1571.511628,5.813953488,86,86,,,,,11:25:00,52.00198533,249.0113636,1494.068182,0,88,88
11:30,48.41830432,258.8604651,1553.162791,6.976744186,86,86,,,,,11:30:00,52.49136597,250.5795455,1503.477273,0,88,88
11:35,47.94421255,265.0813953,1590.488372,8.139534884,86,86,,,,,11:35:00,51.78798257,252.2272727,1513.363636,1.136363636,88,88
11:40,46.78523496,269.1744186,1615.046512,10.46511628,86,86,,,,,11:40:00,51.78863825,255.5113636,1533.068182,1.136363636,88,88
11:45,46.58126386,268.2790698,1609.674419,12.79069767,86,86,,,,,11:45:00,51.7059459,254.4431818,1526.659091,1.136363636,88,88
11:50,48.24543086,259.7209302,1558.325581,9.302325581,86,86,,,,,11:50:00,52.26529972,249.4886364,1496.931818,1.136363636,88,88
11:55,48.25584501,261.4767442,1568.860465,9.302325581,86,86,,,,,11:55:00,52.44516857,245.5454545,1473.272727,0,88,88
12:00,49.1862276,255.8255814,1534.953488,6.976744186,86,86,,,,,12:00:00,52.51616263,248.5227273,1491.136364,0,88,88
12:05,46.99113783,268.6627907,1611.976744,8.139534884,86,86,,,,,12:05:00,51.45916343,258.0227273,1548.136364,0,88,88
12:10,46.33591359,269.9069767,1619.44186,11.62790698,86,86,,,,,12:10:00,50.71001258,262.9545455,1577.727273,0,88,88
12:15,45.65872938,272.6976744,1636.186047,16.27906977,86,86,,,,,12:15:00,50.77339644,265.0795455,1590.477273,1.136363636,88,88
12:20,46.06694624,270.9418605,1625.651163,13.95348837,86,86,,,,,12:20:00,51.21626304,264.1931818,1585.159091,0,88,88
12:25,44.96011925,270.9302326,1625.581395,17.44186047,86,86,,,,,12:25:00,50.80290774,262,1572,1.136363636,88,88
12:30,46.11261004,271.9302326,1631.581395,15.11627907,86,86,,,,,12:30:00,50.91878386,264.4431818,1586.659091,0,88,88
12:35,46.04808832,275.6860465,1654.116279,13.95348837,86,86,,,,,12:35:00,50.92083552,268.6818182,1612.090909,0,88,88
12:40,45.3747666,276.5581395,1659.348837,15.11627907,86,86,,,,,12:40:00,51.13463746,265.1704545,1591.022727,0,88,88
12:45,45.40395282,278.0116279,1668.069767,15.11627907,86,86,,,,,12:45:00,51.40754731,263.2386364,1579.431818,1.136363636,88,88
12:50,47.02823004,266.5232558,1599.139535,15.11627907,86,86,,,,,12:50:00,52.30473026,257.8522727,1547.113636,1.136363636,88,88
12:55,45.23123074,269.3488372,1616.093023,18.60465116,86,86,,,,,12:55:00,51.64645075,258.9204545,1553.522727,1.136363636,88,88
13:00,46.19699644,266.1976744,1597.186047,13.95348837,86,86,,,,,13:00:00,51.6563525,265.7386364,1594.431818,0,88,88
13:05,45.71481701,279.6627907,1677.976744,15.11627907,86,86,,,,,13:05:00,50.32724157,275.3068182,1651.840909,0,88,88
13:10,45.18497107,289,1734,16.27906977,86,86,,,,,13:10:00,48.84196676,286.5227273,1719.136364,4.545454545,88,88
13:15,43.66723867,292.8255814,1756.953488,23.25581395,86,86,,,,,13:15:00,49.39152804,292.3409091,1754.045455,3.409090909,88,88
13:20,43.09441146,288.127907,1728.767442,29.06976744,86,86,,,,,13:20:00,48.55161897,291.0113636,1746.068182,7.954545455,88,88
13:25,40.88795008,286.4186047,1718.511628,36.04651163,86,86,,,,,13:25:00,48.08060585,286.4090909,1718.454545,7.954545455,88,88
13:30,41.56159079,285.0348837,1710.209302,32.55813953,86,86,,,,,13:30:00,48.3017683,288.6931818,1732.159091,5.681818182,88,88
13:35,40.50960396,293.744186,1762.465116,44.18604651,86,86,,,,,13:35:00,47.49780498,303.75,1822.5,12.5,88,88
13:40,38.93135785,298.3837209,1790.302326,50,86,86,,,,,13:40:00,46.81955178,308.6477273,1851.886364,17.04545455,88,88
13:45,37.76580108,293.9534884,1763.72093,58.13953488,86,86,,,,,13:45:00,47.56638213,298.0795455,1788.477273,14.77272727,88,88
13:50,37.32614762,288.4418605,1730.651163,51.1627907,86,86,,,,,13:50:00,47.50490802,290.4545455,1742.727273,11.36363636,88,88
13:55,37.09604528,280.6162791,1683.697674,52.3255814,86,86,,,,,13:55:00,47.64030242,287.4090909,1724.454545,9.090909091,88,88
14:00,39.16174644,281.3255814,1687.953488,45.34883721,86,86,,,,,14:00:00,48.95722849,287.8863636,1727.318182,6.818181818,88,88
14:05,39.76869129,287.8604651,1727.162791,43.02325581,86,86,,,,,14:05:00,49.30528547,300.7954545,1804.772727,4.545454545,88,88
14:10,39.27591246,297.0348837,1782.209302,48.8372093,86,86,,,,,14:10:00,48.85569528,309.625,1857.75,6.818181818,88,88
14:15,37.49747577,294.7906977,1768.744186,52.3255814,86,86,,,,,14:15:00,48.26551806,311.8977273,1871.386364,11.36363636,88,88
14:20,36.56101832,292.8953488,1757.372093,60.46511628,86,86,,,,,14:20:00,46.69848187,308.5568182,1851.340909,20.45454545,88,88
14:25,35.93222388,287.4186047,1724.511628,61.62790698,86,86,,,,,14:25:00,46.94762576,302.7386364,1816.431818,15.90909091,88,88
14:30,34.5499108,286.7093023,1720.255814,66.27906977,86,86,,,,,14:30:00,47.04693818,310.7386364,1864.431818,18.18181818,88,88
14:35,33.50692726,295.5,1773,74.41860465,86,86,,,,,14:35:00,44.99988614,326.8409091,1961.045455,35.22727273,88,88
14:40,30.35318053,296.7093023,1780.255814,90.69767442,86,86,,,,,14:40:00,39.866847,321,1926,57.95454545,88,88
14:45,30.1163799,291.244186,1747.465116,87.20930233,86,86,,,,,14:45:00,38.46635334,313.0909091,1878.545455,62.5,88,88
14:50,29.50595769,290.3953488,1742.372093,87.20930233,86,86,,,,,14:50:00,38.74675342,305.6363636,1833.818182,56.81818182,88,88
14:55,29.52659586,287.5232558,1725.139535,88.37209302,86,86,,,,,14:55:00,40.66511585,303.3409091,1820.045455,44.31818182,88,88
15:00,29.36168046,284.7093023,1708.255814,87.20930233,86,86,,,,,15:00:00,42.77186632,306.4545455,1838.727273,38.63636364,88,88
15:05,29.51805149,290.1627907,1740.976744,87.20930233,86,86,,,,,15:05:00,41.55178201,319.1022727,1914.613636,43.18181818,88,88
15:10,28.81870998,291.7325581,1750.395349,90.69767442,86,86,,,,,15:10:00,38.830277,317.1931818,1903.159091,63.63636364,88,88
15:15,28.54756421,289.627907,1737.767442,94.18604651,86,86,,,,,15:15:00,37.01536172,308.4431818,1850.659091,63.63636364,88,88
15:20,27.14403522,283.8953488,1703.372093,94.18604651,86,86,,,,,15:20:00,38.51240309,303.8295455,1822.977273,57.95454545,88,88
15:25,26.60328298,281.6511628,1689.906977,96.51162791,86,86,,,,,15:25:00,39.77078793,307.6022727,1845.613636,55.68181818,88,88
15:30,27.72293139,279.8953488,1679.372093,93.02325581,86,86,,,,,15:30:00,38.63048509,310.8068182,1864.840909,60.22727273,88,88
15:35,28.79818355,281.9534884,1691.72093,91.86046512,86,86,,,,,15:35:00,36.45460545,316.4431818,1898.659091,69.31818182,88,88
15:40,28.16101191,285.4302326,1712.581395,91.86046512,86,86,,,,,15:40:00,33.66084912,311.0227273,1866.136364,82.95454545,88,88
15:45,28.45124807,287.8023256,1726.813953,93.02325581,86,86,,,,,15:45:00,32.59208972,306.9772727,1841.863636,87.5,88,88
15:50,28.04822438,285.755814,1714.534884,93.02325581,86,86,,,,,15:50:00,31.92258928,299.4772727,1796.863636,86.36363636,88,88
15:55,27.8833221,281.8953488,1691.372093,90.69767442,86,86,,,,,15:55:00,33.01479521,299.6704545,1798.022727,86.36363636,88,88
16:00,27.24768505,278.6511628,1671.906977,90.69767442,86,86,,3343.813953,1.333333333,,16:00:00,32.0808825,298.8068182,1792.840909,86.36363636,88,88
16:05,27.80981049,282.3372093,1694.023256,93.02325581,86,86,,,,,16:05:00,32.74382499,301.1818182,1807.090909,81.81818182,88,88
16:10,27.27400151,282.1627907,1692.976744,91.86046512,86,86,,,,,16:10:00,31.77084526,300.9090909,1805.454545,88.63636364,88,88
16:15,27.21943785,280.0930233,1680.55814,93.02325581,86,86,,,,,16:15:00,31.47689036,297.5340909,1785.204545,88.63636364,88,88
16:20,26.49215505,277.3488372,1664.093023,94.18604651,86,86,,,,,16:20:00,31.03505838,295.1818182,1771.090909,85.22727273,88,88
16:25,27.06060007,277.1511628,1662.906977,91.86046512,86,86,,,,,16:25:00,31.92246419,294.5681818,1767.409091,86.36363636,88,88
16:30,27.28266682,277.7906977,1666.744186,93.02325581,86,86,,,,,16:30:00,31.745423,292.8068182,1756.840909,87.5,88,88
16:35,27.330242,276.7209302,1660.325581,93.02325581,86,86,,,,,16:35:00,31.09390719,294.6590909,1767.954545,84.09090909,88,88
16:40,26.53206526,276.9069767,1661.44186,93.02325581,86,86,,,,,16:40:00,31.60256664,294.5454545,1767.272727,84.09090909,88,88
16:45,27.34276244,279.2674419,1675.604651,91.86046512,86,86,,,,,16:45:00,30.88556856,293.3977273,1760.386364,86.36363636,88,88
16:50,27.52632202,278.6395349,1671.837209,91.86046512,86,86,,,,,16:50:00,30.71265197,287.9545455,1727.727273,85.22727273,88,88
16:55,28.17249292,277.0465116,1662.27907,89.53488372,86,86,,,,,16:55:00,30.56240017,287.0568182,1722.340909,87.5,88,88
17:00,27.63680246,273.8488372,1643.093023,89.53488372,86,86,,3286.186047,1.416666667,,17:00:00,30.86201143,283.7272727,1702.363636,86.36363636,88,88
17:05,27.53572372,273.7209302,1642.325581,91.86046512,86,86,,,,,17:05:00,31.14550351,288.2954545,1729.772727,88.63636364,88,88
17:10,27.6447054,277.0232558,1662.139535,93.02325581,86,86,,,,,17:10:00,31.15852304,290.6363636,1743.818182,88.63636364,88,88
17:15,27.4271673,274.5813953,1647.488372,91.86046512,86,86,,,,,17:15:00,30.16033147,286.2727273,1717.636364,89.77272727,88,88
17:20,27.67741079,272.9186047,1637.511628,90.69767442,86,86,,,,,17:20:00,30.56225996,288.8409091,1733.045455,90.90909091,88,88
17:25,27.65019956,271.0581395,1626.348837,91.86046512,86,86,,,,,17:25:00,30.97261423,284.6136364,1707.681818,88.63636364,88,88
17:30,28.50320091,273.4767442,1640.860465,91.86046512,86,86,,,,,17:30:00,31.75067121,283.4545455,1700.727273,86.36363636,88,88
17:35,28.32409996,273.8139535,1642.883721,91.86046512,86,86,,,,,17:35:00,31.68317786,284.1136364,1704.681818,85.22727273,88,88
